lemma	Louw-Nida	Category	book	chap	total_words	sentence_Ix	token_Ix	kwic
περί	83.0	indeclinable	Acts	1	533	0	6	λόγον ἐποιησάμην περὶ [[ περὶ ]] 
ἄχρι	84.0	indeclinable	Acts	1	533	1	19	ἀποστόλοις διὰ πνεύματος [[ ἄχρι ]] οὓς ἐξελέξατο ἀνελήμφθη
διά	84.0	indeclinable	Acts	1	533	1	25	ἀνελήμφθη [[ διὰ ]] 
ἀναλαμβάνω	15.0	other vbs.	Acts	1	533	1	30	 [[ ἀνελήμφθη ]] 
παρίστημι	85.0	vbs. of motion	Acts	1	533	2	34	ἀπὸ Ἱεροσολύμων μὴ [[ παρέστησεν ]] ἀλλὰ περιμένειν τὴν
ἐν	83.0	indeclinable	Acts	1	533	2	41	ἐπαγγελίαν τοῦ πατρὸς [[ ἐν ]] ἠκούσατέ μου  
περί	83.0	indeclinable	Acts	1	533	2	52	ὕδατι [[ περὶ ]] 
ἀπό	84.0	indeclinable	Acts	1	533	2	62	 [[ ἀπὸ ]] 
ἱεροσόλυμα	93.0	toponym	Acts	1	533	2	63	 [[ Ἱεροσολύμων ]] 
χωρίζω	85.0	vbs. of motion	Acts	1	533	2	65	 [[ χωρίζεσθαι ]] 
ἐν	83.0	indeclinable	Acts	1	533	3	83	 [[ ἐν ]] 
συνέρχομαι	15.0	vbs. of motion	Acts	1	533	5	96	 [[ συνελθόντες ]] 
ἐν	83.0	indeclinable	Acts	1	533	6	102	 [[ ἐν ]] 
ἰσραήλ		toponym	Acts	1	533	6	110	 [[ Ἰσραήλ ]] 
πρός	83.0	indeclinable	Acts	1	533	8	114	 [[ πρὸς ]] 
τίθημι	85.0	other vbs.	Acts	1	533	9	126	 [[ ἔθετο ]] 
ἐν	83.0	indeclinable	Acts	1	533	9	127	 [[ ἐν ]] 
ἐπέρχομαι	15.0	vbs. of motion	Acts	1	533	9	135	 [[ ἐπελθόντος ]] 
ἐν	83.0	indeclinable	Acts	1	533	11	145	 [[ ἔν ]] 
ἐν	83.0	indeclinable	Acts	1	533	11	149	 [[ ἐν ]] 
ἰουδαία	93.0	toponym	Acts	1	533	11	152	 [[ Ἰουδαίᾳ ]] 
