lemma	Louw-Nida	Category	book	chap	total_words	sentence_Ix	token_Ix	kwic
ἐν	83.0	indeclinable	John	1	879	0	1	 [[ Ἐν ]] ἦν ὁ λόγος
πρός	83.0	indeclinable	John	1	879	0	10	λόγος ἦν πρὸς [[ πρὸς ]] θεόν
ἐν	83.0	indeclinable	John	1	879	1	21	καὶ χωρὶς αὐτοῦ [[ ἐν ]] 
πρός	83.0	indeclinable	John	1	879	1	23	αὐτοῦ ἐγένετο [[ πρὸς ]] 
ἐν	83.0	indeclinable	John	1	879	2	40	 [[ ἐν ]] 
ἐν	83.0	indeclinable	John	1	879	2	56	 [[ ἐν ]] 
ἀποστέλλω	15.0	vbs. of motion	John	1	879	3	69	 [[ ἀπεσταλμένος ]] 
παρά	83.0	indeclinable	John	1	879	3	70	 [[ παρὰ ]] 
ἔρχομαι	15.0	vbs. of motion	John	1	879	4	77	 [[ ἦλθεν ]] 
εἰς	83.0	indeclinable	John	1	879	4	78	 [[ εἰς ]] 
περί	83.0	indeclinable	John	1	879	4	82	 [[ περὶ ]] 
περί	83.0	indeclinable	John	1	879	4	99	 [[ περὶ ]] 
ἔρχομαι	15.0	vbs. of motion	John	1	879	5	112	 [[ ἐρχόμενον ]] 
εἰς	83.0	indeclinable	John	1	879	5	113	 [[ εἰς ]] 
κόσμος	1.0	nature	John	1	879	5	115	 [[ κόσμον ]] 
κόσμος	1.0	nature	John	1	879	5	115	 [[ κόσμον ]] 
κόσμος	1.0	nature	John	1	879	5	115	 [[ κόσμον ]] 
κόσμος	1.0	nature	John	1	879	5	115	 [[ κόσμον ]] 
ἐν	83.0	indeclinable	John	1	879	5	117	 [[ Ἐν ]] 
κόσμος	1.0	nature	John	1	879	5	119	 [[ κόσμῳ ]] 
κόσμος	1.0	nature	John	1	879	5	119	 [[ κόσμῳ ]] 
κόσμος	1.0	nature	John	1	879	5	119	 [[ κόσμῳ ]] 
κόσμος	1.0	nature	John	1	879	5	119	 [[ κόσμῳ ]] 
κόσμος	1.0	nature	John	1	879	5	123	 [[ κόσμος ]] 
κόσμος	1.0	nature	John	1	879	5	123	 [[ κόσμος ]] 
κόσμος	1.0	nature	John	1	879	5	123	 [[ κόσμος ]] 
κόσμος	1.0	nature	John	1	879	5	123	 [[ κόσμος ]] 
κόσμος	1.0	nature	John	1	879	5	129	 [[ κόσμος ]] 
κόσμος	1.0	nature	John	1	879	5	129	 [[ κόσμος ]] 
κόσμος	1.0	nature	John	1	879	5	129	 [[ κόσμος ]] 
κόσμος	1.0	nature	John	1	879	5	129	 [[ κόσμος ]] 
εἰς	83.0	indeclinable	John	1	879	6	134	 [[ εἰς ]] 
ἔρχομαι	15.0	vbs. of motion	John	1	879	6	137	 [[ ἦλθεν ]] 
παραλαμβάνω	15.0	other vbs.	John	1	879	6	143	 [[ παρέλαβον ]] 
εἰς	83.0	indeclinable	John	1	879	7	157	 [[ εἰς ]] 
ἐκ	84.0	indeclinable	John	1	879	8	164	 [[ ἐξ ]] 
ἐκ	84.0	indeclinable	John	1	879	8	167	 [[ ἐκ ]] 
ἐκ	84.0	indeclinable	John	1	879	8	171	 [[ ἐκ ]] 
ἐκ	84.0	indeclinable	John	1	879	8	175	 [[ ἐκ ]] 
σκηνόω	85.0	vbs. of motion	John	1	879	9	185	 [[ ἐσκήνωσεν ]] 
ἐν	83.0	indeclinable	John	1	879	9	186	 [[ ἐν ]] 
παρά	83.0	indeclinable	John	1	879	9	196	 [[ παρὰ ]] 
περί	83.0	indeclinable	John	1	879	9	205	 [[ περὶ ]] 
