lemma	Louw-Nida	Category	book	chap	total_words	sentence_Ix	token_Ix	kwic
περί	83.0	indeclinable	Luke	1	1265	0	6	ἀνατάξασθαι διήγησιν περὶ [[ περὶ ]] πεπληροφορημένων ἐν ἡμῖν
ἐν	83.0	indeclinable	Luke	1	1265	0	9	τῶν πεπληροφορημένων ἐν [[ ἐν ]] πραγμάτων   καθὼς
ἄνωθεν	84.0	indeclinable	Luke	1	1265	0	29	κἀμοὶ παρηκολουθηκότι ἄνωθεν [[ ἄνωθεν ]] ἀκριβῶς καθεξῆς σοι
καθεξῆς		indeclinable	Luke	1	1265	0	32	πᾶσιν ἀκριβῶς καθεξῆς [[ καθεξῆς ]] γράψαι
περί	83.0	indeclinable	Luke	1	1265	1	40	αὐτῆς Ἐλισάβετ   [[ περὶ ]] 
ἐν	83.0	indeclinable	Luke	1	1265	1	48	 [[ ἐν ]] 
ἰουδαία	93.0	toponym	Luke	1	1265	1	54	 [[ Ἰουδαίας ]] 
ἐκ	84.0	indeclinable	Luke	1	1265	1	59	 [[ ἐξ ]] 
ἐκ	84.0	indeclinable	Luke	1	1265	1	65	 [[ ἐκ ]] 
πορεύομαι	15.0	vbs. of motion	Luke	1	1265	2	82	 [[ πορευόμενοι ]] 
ἐν	83.0	indeclinable	Luke	1	1265	2	83	 [[ ἐν ]] 
προβαίνω	15.0	vbs. of motion	Luke	1	1265	4	105	 [[ προβεβηκότες ]] 
ἐν	83.0	indeclinable	Luke	1	1265	4	106	 [[ ἐν ]] 
ἐν	83.0	indeclinable	Luke	1	1265	6	114	 [[ ἐν ]] 
ἐν	83.0	indeclinable	Luke	1	1265	6	118	 [[ ἐν ]] 
ἔναντι	83.0	indeclinable	Luke	1	1265	6	124	 [[ ἔναντι ]] 
κατά	83.0	indeclinable	Luke	1	1265	6	128	 [[ κατὰ ]] 
εἰσέρχομαι	15.0	vbs. of motion	Luke	1	1265	6	136	 [[ εἰσελθὼν ]] 
εἰς	83.0	indeclinable	Luke	1	1265	6	137	 [[ εἰς ]] 
ναός	7.0	buildings	Luke	1	1265	6	139	 [[ ναὸν ]] 
ἔξω	83.0	indeclinable	Luke	1	1265	6	151	 [[ ἔξω ]] 
ἵστημι	85.0	vbs. of motion	Luke	1	1265	8	162	 [[ ἑστὼς ]] 
ἐκ	84.0	indeclinable	Luke	1	1265	8	163	 [[ ἐκ ]] 
δεξιός	82.0	nature	Luke	1	1265	8	164	 [[ δεξιῶν ]] 
θυσιαστήριον		buildings	Luke	1	1265	8	166	 [[ θυσιαστηρίου ]] 
ταράσσω	16.0	other vbs.	Luke	1	1265	8	171	 [[ ἐταράχθη ]] 
πρός	83.0	indeclinable	Luke	1	1265	10	182	 [[ πρὸς ]] 
ἐπί	83.0	indeclinable	Luke	1	1265	11	217	 [[ ἐπὶ ]] 
ἐνώπιον	83.0	indeclinable	Luke	1	1265	13	226	 [[ ἐνώπιον ]] 
ἐκ	84.0	indeclinable	Luke	1	1265	13	241	 [[ ἐκ ]] 
ἰσραήλ		toponym	Luke	1	1265	13	250	 [[ Ἰσραὴλ ]] 
ἐπιστρέφω	15.0	vbs. of motion	Luke	1	1265	13	251	 [[ ἐπιστρέψει ]] 
ἐπί	83.0	indeclinable	Luke	1	1265	13	252	 [[ ἐπὶ ]] 
προέρχομαι	15.0	vbs. of motion	Luke	1	1265	13	260	 [[ προελεύσεται ]] 
ἐνώπιον	83.0	indeclinable	Luke	1	1265	13	261	 [[ ἐνώπιον ]] 
ἐν	83.0	indeclinable	Luke	1	1265	13	263	 [[ ἐν ]] 
ἐπιστρέφω	15.0	vbs. of motion	Luke	1	1265	13	268	 [[ ἐπιστρέψαι ]] 
ἐπί	83.0	indeclinable	Luke	1	1265	13	271	 [[ ἐπὶ ]] 
ἐν	83.0	indeclinable	Luke	1	1265	13	275	 [[ ἐν ]] 
κατασκευάζω	45.0	other vbs.	Luke	1	1265	13	281	 [[ κατεσκευασμένον ]] 
πρός	83.0	indeclinable	Luke	1	1265	13	286	 [[ πρὸς ]] 
κατά	83.0	indeclinable	Luke	1	1265	14	289	 [[ Κατὰ ]] 
προβαίνω	15.0	vbs. of motion	Luke	1	1265	15	301	 [[ προβεβηκυῖα ]] 
ἐν	83.0	indeclinable	Luke	1	1265	15	302	 [[ ἐν ]] 
παρίστημι	85.0	vbs. of motion	Luke	1	1265	18	317	 [[ παρεστηκὼς ]] 
ἐνώπιον	83.0	indeclinable	Luke	1	1265	18	318	 [[ ἐνώπιον ]] 
ἀποστέλλω	15.0	vbs. of motion	Luke	1	1265	18	322	 [[ ἀπεστάλην ]] 
πρός	83.0	indeclinable	Luke	1	1265	18	324	 [[ πρὸς ]] 
ἄχρι	84.0	indeclinable	Luke	1	1265	18	339	 [[ ἄχρι ]] 
