lemma	Louw-Nida	Category	book	chap	total_words	sentence_Ix	token_Ix	kwic
ἐκ	84.0	indeclinable	Matt	1	460	3	37	 [[ ἐκ ]] 
ἐκ	84.0	indeclinable	Matt	1	460	9	72	 [[ ἐκ ]] 
ἐκ	84.0	indeclinable	Matt	1	460	10	80	 [[ ἐκ ]] 
ἐκ	84.0	indeclinable	Matt	1	460	13	101	 [[ ἐκ ]] 
ἐπί	83.0	indeclinable	Matt	1	460	26	179	 [[ ἐπὶ ]] 
μετοικεσία	85.0	community	Matt	1	460	26	181	 [[ μετοικεσίας ]] 
βαβυλών	93.0	toponym	Matt	1	460	26	182	 [[ Βαβυλῶνος ]] 
μετοικεσία	85.0	community	Matt	1	460	27	187	 [[ μετοικεσίαν ]] 
βαβυλών	93.0	toponym	Matt	1	460	27	188	 [[ Βαβυλῶνος ]] 
ἐκ	84.0	indeclinable	Matt	1	460	40	255	 [[ ἐξ ]] 
ἀπό	84.0	indeclinable	Matt	1	460	41	267	 [[ ἀπὸ ]] 
ἕως	84.0	indeclinable	Matt	1	460	41	269	 [[ ἕως ]] 
ἀπό	84.0	indeclinable	Matt	1	460	41	274	 [[ ἀπὸ ]] 
ἕως	84.0	indeclinable	Matt	1	460	41	276	 [[ ἕως ]] 
μετοικεσία	85.0	community	Matt	1	460	41	278	 [[ μετοικεσίας ]] 
βαβυλών	93.0	toponym	Matt	1	460	41	279	 [[ Βαβυλῶνος ]] 
ἀπό	84.0	indeclinable	Matt	1	460	41	283	 [[ ἀπὸ ]] 
μετοικεσία	85.0	community	Matt	1	460	41	285	 [[ μετοικεσίας ]] 
βαβυλών	93.0	toponym	Matt	1	460	41	286	 [[ Βαβυλῶνος ]] 
ἕως	84.0	indeclinable	Matt	1	460	41	287	 [[ ἕως ]] 
συνέρχομαι	15.0	vbs. of motion	Matt	1	460	42	310	 [[ συνελθεῖν ]] 
ἐν	83.0	indeclinable	Matt	1	460	42	313	 [[ ἐν ]] 
ἐκ	84.0	indeclinable	Matt	1	460	42	316	 [[ ἐκ ]] 
ἀπολύω	15.0	vbs. of motion	Matt	1	460	44	334	 [[ ἀπολῦσαι ]] 
παραλαμβάνω	15.0	other vbs.	Matt	1	460	47	354	 [[ παραλαβεῖν ]] 
ἐν	83.0	indeclinable	Matt	1	460	48	361	 [[ ἐν ]] 
ἐκ	84.0	indeclinable	Matt	1	460	48	364	 [[ ἐκ ]] 
τίκτω		other vbs.	Matt	1	460	49	369	 [[ τέξεται ]] 
ἀπό	84.0	indeclinable	Matt	1	460	50	384	 [[ ἀπὸ ]] 
ὑπό	83.0	indeclinable	Matt	1	460	51	397	 [[ ὑπὸ ]] 
διά	84.0	indeclinable	Matt	1	460	51	399	 [[ διὰ ]] 
ἐν	83.0	indeclinable	Matt	1	460	52	407	 [[ ἐν ]] 
τίκτω		other vbs.	Matt	1	460	52	411	 [[ τέξεται ]] 
ἐγείρω	17.0	other vbs.	Matt	1	460	55	427	 [[ ἐγερθεὶς ]] 
ἀπό	84.0	indeclinable	Matt	1	460	55	431	 [[ ἀπὸ ]] 
παραλαμβάνω	15.0	other vbs.	Matt	1	460	55	442	 [[ παρέλαβεν ]] 
ἕως	84.0	indeclinable	Matt	1	460	56	451	 [[ ἕως ]] 
τίκτω		other vbs.	Matt	1	460	56	453	 [[ ἔτεκεν ]] 
ἐν	83.0	indeclinable	Matt	2	480	0	5	Ἰησοῦ γεννηθέντος ἐν [[ ἐν ]] τῆς Ἰουδαίας ἐν
βηθλέεμ	93.0	toponym	Matt	2	480	0	6	γεννηθέντος ἐν Βηθλέεμ [[ Βηθλέεμ ]] Ἰουδαίας ἐν ἡμέραις
ἰουδαία	93.0	toponym	Matt	2	480	0	8	Βηθλέεμ τῆς Ἰουδαίας [[ Ἰουδαίας ]] ἡμέραις Ἡρῴδου τοῦ
ἐν	83.0	indeclinable	Matt	2	480	0	9	τῆς Ἰουδαίας ἐν [[ ἐν ]] Ἡρῴδου τοῦ βασιλέως
ἀπό	84.0	indeclinable	Matt	2	480	0	16	ἰδοὺ μάγοι ἀπὸ [[ ἀπὸ ]] παρεγένοντο εἰς Ἱεροσόλυμα
ἀνατολή	82.0	nature	Matt	2	480	0	17	μάγοι ἀπὸ ἀνατολῶν [[ ἀνατολῶν ]] εἰς Ἱεροσόλυμα  
παραγίγνομαι	15.0	vbs. of motion	Matt	2	480	0	18	ἀπὸ ἀνατολῶν παρεγένοντο [[ παρεγένοντο ]] Ἱεροσόλυμα   λέγοντες
εἰς	83.0	indeclinable	Matt	2	480	0	19	ἀνατολῶν παρεγένοντο εἰς [[ εἰς ]]   λέγοντες
ἱεροσόλυμα	93.0	toponym	Matt	2	480	0	20	παρεγένοντο εἰς Ἱεροσόλυμα [[ Ἱεροσόλυμα ]] λέγοντες
ποῦ	83.0	indeclinable	Matt	2	480	1	23	 [[ Ποῦ ]] 
τίκτω		other vbs.	Matt	2	480	1	26	 [[ τεχθεὶς ]] 
ἐν	83.0	indeclinable	Matt	2	480	2	35	 [[ ἐν ]] 
ἀνατολή	82.0	nature	Matt	2	480	2	37	 [[ ἀνατολῇ ]] 
ἔρχομαι	15.0	vbs. of motion	Matt	2	480	2	39	 [[ ἤλθομεν ]] 
προσκυνέω	17.0	vbs. of motion	Matt	2	480	2	40	 [[ προσκυνῆσαι ]] 
ταράσσω	16.0	other vbs.	Matt	2	480	4	48	 [[ ἐταράχθη ]] 
ἱεροσόλυμα	93.0	toponym	Matt	2	480	4	51	 [[ Ἱεροσόλυμα ]] 
συνάγω	85.0	vbs. of motion	Matt	2	480	4	56	 [[ συναγαγὼν ]] 
ποῦ	83.0	indeclinable	Matt	2	480	6	67	 [[ ποῦ ]] 
ἐν	83.0	indeclinable	Matt	2	480	8	76	 [[ Ἐν ]] 
βηθλέεμ	93.0	toponym	Matt	2	480	8	77	 [[ Βηθλέεμ ]] 
ἰουδαία	93.0	toponym	Matt	2	480	8	79	 [[ Ἰουδαίας ]] 
διά	84.0	indeclinable	Matt	2	480	9	83	 [[ διὰ ]] 
βηθλέεμ	93.0	toponym	Matt	2	480	10	89	 [[ Βηθλέεμ ]] 
γῆ	1.0	nature	Matt	2	480	10	90	 [[ γῆ ]] 
ἐν	83.0	indeclinable	Matt	2	480	10	95	 [[ ἐν ]] 
ἐκ	84.0	indeclinable	Matt	2	480	11	99	 [[ ἐκ ]] 
ἐξέρχομαι	15.0	vbs. of motion	Matt	2	480	11	102	 [[ ἐξελεύσεται ]] 
ἰσραήλ		toponym	Matt	2	480	11	110	 [[ Ἰσραήλ ]] 
πέμπω	15.0	other vbs.	Matt	2	480	12	128	 [[ πέμψας ]] 
εἰς	83.0	indeclinable	Matt	2	480	12	130	 [[ εἰς ]] 
βηθλέεμ	93.0	toponym	Matt	2	480	12	131	 [[ Βηθλέεμ ]] 
πορεύομαι	15.0	vbs. of motion	Matt	2	480	13	133	 [[ Πορευθέντες ]] 
περί	83.0	indeclinable	Matt	2	480	13	136	 [[ περὶ ]] 
ἔρχομαι	15.0	vbs. of motion	Matt	2	480	14	147	 [[ ἐλθὼν ]] 
προσκυνέω	17.0	vbs. of motion	Matt	2	480	14	148	 [[ προσκυνήσω ]] 
πορεύομαι	15.0	vbs. of motion	Matt	2	480	16	156	 [[ ἐπορεύθησαν ]] 
ἐν	83.0	indeclinable	Matt	2	480	17	163	 [[ ἐν ]] 
ἀνατολή	82.0	nature	Matt	2	480	17	165	 [[ ἀνατολῇ ]] 
προάγω	15.0	vbs. of motion	Matt	2	480	17	166	 [[ προῆγεν ]] 
ἕως	84.0	indeclinable	Matt	2	480	17	168	 [[ ἕως ]] 
ἔρχομαι	15.0	vbs. of motion	Matt	2	480	17	169	 [[ ἐλθὼν ]] 
